任务名,目标,标签,图片
首秀,1.在任意地图击杀5名Scavs 2.获取并交出2支MP-13312ga霰弹枪,3x4 仙女棒 任意地点,static/images/1692980529_image.png
背景调查,1.在海关取得青铜怀表 2.(可选）取得机械钥匙 3.上交青铜怀表,3x4 仙女棒 海关 Lv.2,static/images/1692982234_image.png
硝烟野餐,1.在森林击杀15个Scav,3x4 森林 Lv.3,static/images/1692989426_image.png
搜索任务,1.在森林找到失踪的Prapor的车队 2.找到USEC临时营地 3.以幸存状态撤离该区域,3x4 森林 Lv.5,static/images/1692980729_image.png
往事速递,1.在位于海关的Tarcone公司主管办公室内找到一个保险盒 2.将容器藏匿在工厂3号门旁边的二层休息室内 3.以幸存状态撤离工厂,3x4 仙女棒 任意地点 Lv.5,static/images/1692990250_image.png
石油存储,1.在海关使用MS2000指示器标记第一辆油罐车 2.在海关使用MS2000指示器标记第二辆油罐车 3.在海关使用MS2000指示器标记第三...,3x4 仙女棒 海关 Lv.5,static/images/1692993087_image.png
罪证,1.在海关的工棚中找到0031号保险文件夹 2.把0031号保险文件夹交给Prapor 3.以幸存状态撤离该区域,3x4 仙女棒 任意地点 Lv.6,static/images/1692995563_image.png
蛋卷冰淇淋,1.找到3个60发弹容量的AK弹匣 2.把找到的3个60发弹容量的AK弹匣上交,3x4 仙女棒 森林 Lv.9,static/images/1693211912_image.png
探囊取物,1.在海关宿舍203房间取得高价值物品 2.上交信件,3x4 仙女棒 海关 PraporLL2,static/images/1693215762_image.png
邮递员派特 - 1,1.在工厂的信使尸体上取得一封信 2.以幸存状态撤离工厂 3.上交信件给Therapist,3x4 工厂 Lv.10,static/images/1693212967_image.png
一信之缘,1.在塔科夫街区取得挂号信 2.上交信件,非3x4 塔科夫街区 Lv.10,static/images/1693214990_image.png
Polikhim流浪汉,1.在海关击杀25名Scav,3x4 海关 Lv.10,static/images/1693236368_image.png
地堡 - 1,1.找到地堡 2.找到地堡控制室 3.以幸存状态撤离该区域,3x4 储备站 Lv.10,static/images/1692994118_image.png
地堡 - 2,1.找到通往医院的密闭门(白主教) 2.找到通往学院大楼的两扇密闭门中的一个(黑主教) 3.找到通往1号军营的两扇密闭门中的一个(黑兵) 4...,3x4 储备站 Lv.11,static/images/1692994810_image.png
大客户【多选】,1.在海关找到装有化学品的载具 2.使用MS2000指示器标记化学品转运车 3.以幸存状态撤离海关,3x4 海关 Lv.11,static/images/1693237795_image.png
无意冒犯,1.取得10颗M67手榴弹 2.上交10颗M67手榴弹给Prapor,非3x4 任意地点 Lv.11,static/images/1693238093_image.png
叛无所依,1.消灭储备站地堡控制室中的5名掠夺者,3x4 储备站 Lv.12,static/images/1693213665_image.png
多鱼之漏,1.在储备站取得第一份加密文件并上交 2.在储备站取得第二份加密文件并上交 3.在储备站取得第三份加密文件并上交,3x4 储备站 Lv.12,static/images/1693214068_image.png
苏共之辉 - 1,1.在塔科夫街区找到Prapor朋友的公寓 2.以幸存状态撤离该区域,非3x4 塔科夫街区 Lv.15,static/images/1693216632_image.png
苏共之辉 - 2,1.在塔科夫街区找到Prapor朋友的工作地点 2.获取关于Prapor的朋友命运的任何信息 3.以幸存状态撤离该区域,非3x4 塔科夫街区,static/images/1694596771_image.png
惩罚者 - 1,1.在海岸线使用AKM系列武器击杀15名Scav,3x4 仙女棒 海岸线 Lv.17,static/images/1693216973_image.png
惩罚者 - 2,1.在储备站使用消音武器击杀12名Scav 2.在战局中找到7个半面巾 3.上交7个半面巾,3x4 仙女棒 Lv.18 储备站,static/images/1693217507_image.png
小菜一碟 - 1,1.在灯塔的污水处理厂找到直升机 2.使用MS2000指示器标记直升机 3.以幸存状态撤离该区域,3x4 灯塔 Lv.18,static/images/1693239641_image.png
小菜一碟 - 2,1.清除灯塔污水处理厂直升机周围的威胁（任意目标x20）,3x4 灯塔 Lv.18,static/images/1693239957_image.png
踩点行动,1.踩点灯塔第一个办公楼的楼顶 2.踩点灯塔第二个办公楼的楼顶 3.踩点灯塔第三个办公楼的楼顶 4.以幸存状态撤离该区域,3x4 灯塔 Lv.18,static/images/1693240359_image.png
惩罚者 - 3,1.在海关使用AKS-74U击杀25名Scav,3x4 仙女棒 海关 Lv.19,static/images/1693217760_image.png
惩罚者 - 4,1.在灯塔使用12铅径霰弹枪击杀10名Scav 2.在灯塔佩戴任意巴拉克拉瓦面罩，并装备Scav背心击杀10名PMC 3.在战局中找到5把A...,3x4 仙女棒 Lv.20 灯塔,static/images/1693218350_image.png
惩罚者 - 5,1.在战局中找到AK-74N突击步枪并上交 2.在战局中找到M4A1突击步枪并上交 3.在战局中找到2把PM9x18手枪并上交 4.穿戴PA...,3x4 仙女棒 任意地点 Lv.20,static/images/1693219334_image.png
占山为王,1.在灯塔地区消灭20名USEC的PMC行动人员 2.上交在战局中找到的20个USEC狗牌,非3x4 灯塔 Lv.20,static/images/1693240162_image.png
绿色通道,1.在塔科夫街区找到运送货物的车队 2.找到偷袭位置 3.以幸存状态撤离该区域,非3x4 塔科夫街区 Lv.20,static/images/1693230828_image.png
掷弹兵,1.使用手榴弹击杀8名PMC,3x4 任意地点 Lv.20,static/images/1693231414_image.png
惩罚者 - 6,1.使用SVD狙击步枪击杀15名PMC（工厂除外） 2.上交7个BEARPMC狗牌 3.上交7个USECPMC狗牌,3x4 任意地点 Lv.21,static/images/1693227845_image.png
麻醉,1.用MS2000指示器标记海岸线的第一个交易站 2.用MS2000指示器标记海岸线的第二个交易站 3.用MS2000指示器标记海岸线的第三...,3x4 海岸线 Lv.21,static/images/1693230806_image.png
出警 - 商场,1.在塔科夫街区使用手枪消除Klimov交易中心建筑中的15个Scavs或PMC,非3x4 塔科夫街区 Lv.21,static/images/1694597468_image.png
出警 - 门票,1.在塔科夫街区使用冲锋枪消除剧院中的15个Scavs或PMC,非3x4 塔科夫街区 Lv.21,static/images/1694597829_image.png
出警 - 巡逻,1.在塔科夫街区使用突击步枪或卡宾枪消除Cardinal公寓中的15个Scavs或PMC,非3x4 塔科夫街区 Lv.21,static/images/1694598667_image.png
出警 - 校园保安,1.在塔科夫街区CitySchool30区域内消灭使用霰弹枪击杀15名Scav或PMC,非3x4 塔科夫街区 Lv.21,static/images/1694183863_image.png
屋顶战神,1.在塔科夫街区消灭屋顶的10名Scavs狙击手 2.以幸存状态撤离该区域,非3x4 塔科夫街区 Lv.22,static/images/1693228784_image.png
管制材料,1.在战局中找到6-Sten-140-M军用电池并上交 2.在战局中找到OFZ30x60毫米炮弹并上交,3x4 任意地点 Lv.25,static/images/1693236780_image.png
最好的差事,1.使用AK-74系列突击步枪从100米开外击杀30个任意敌人,非3x4 任意地点 Lv.25,static/images/1693229430_image.png
试驾 - 1,1.使用装有SilencercoHybrid46多口径消音器和Schmidt&BenderPMII1-8x24瞄准镜的M1A步枪从6...,3x4 任意地点 Lv.30,static/images/1693232001_image.png
试驾 - 2,1.在塔科夫街区上使用带有抑制器和KP-SR2反射瞄准器的SR-2M“Veresk”消除20名PMC,非3x4 塔科夫街区 Lv.30,static/images/1693235627_image.png
试驾 - 3,1.在灯塔使用装备消音器和ValdayPS-3201x/6x瞄准镜在灯塔消灭PMC,非3x4 灯塔 Lv.30,static/images/1694596310_image.png
左右逢源,1.Prapor信任度至4级 2.Therapist信任度至4级 3.Skier信任度至4级 4.Peacekeeper信任度至4级 5.M...,3x4 任意地点 Lv.35,static/images/1693235748_image.png
掠地攻城,1.在海关的Scav营地击杀8名PMC 2.在森林的Scav营地击杀8名PMC 3.在海岸线码头击杀8名PMC,非3x4 任意地点 Lv.42,static/images/1693238211_image.png
恐吓者,1.命中头部击杀40名Scav,3x4 任意地点 Lv.45,static/images/1693238989_image.png
护送,1.于白天在工厂击杀4名PMC 2.在海关击杀4名PMC 3.在海岸线击杀4名PMC 4.在储备站击杀4名PMC 5.在森林击杀4名PMC ...,非3x4 任意地点 Lv.60,static/images/1693239306_image.png
短缺,1.在战局中找到3个Salewa急救包 2.上交3个Salewa急救包,3x4 仙女棒 任意地点,static/images/1693246664_image.png
卫生标准 - 1,1.在战局中找到1个气体分析仪并上交,3x4 仙女棒 工厂 Lv.4,static/images/1693247592_image.png
水瓶座行动 - 1,1.在海关找到被藏在宿舍楼里的水 2.以幸存状态撤离该区域,3x4 海关 Lv.6,static/images/1693247008_image.png
水瓶座行动 - 2,1.在海关击杀15名Scav,3x4 海关 Lv.6,static/images/1693247318_image.png
卫生标准 - 2,1.在战局中找到2个气体分析仪并上交,3x4 仙女棒 任意地点 Lv.8,static/images/1693247950_image.png
止痛药,1.在战局中找到4个吗啡注射器并上交,3x4 仙女棒 任意地点 Lv.8,static/images/1693248050_image.png
邮递员派特 - 2,1.把信使身上的信上交给Therapist,3x4 任意地点 Lv.10,static/images/1693301535_image.png
药剂师,1.在海关找到装有设备的箱子 2.将箱子上交给Therapist,3x4 仙女棒 海关 Lv.10,static/images/1693248458_image.png
汽车修理,1.在战局中找到4个汽车蓄电池 2.在战局中找到8个火花塞,3x4 任意地点 Lv.10,static/images/1693249193_image.png
一般储备,1.在战局中找到15个小牛肉罐头并上交,3x4 任意地点 Lv.10,static/images/1693299440_image.png
医疗隐私 - 1,1.在海岸线找到第一辆救护车，并使用MS2000指示器标记 2.在海岸线找到第二辆救护车，并使用MS2000指示器标记 3.在海岸线找到第三...,3x4 仙女棒 海岸线 Lv.10,static/images/1693252502_image.png
医疗隐私 - 2,1.在疗养院的房间中找到任何关于TerraGroup研究的文件 2.上交找回的信息 3.以幸存状态撤离该区域,3x4 仙女棒 海岸线 Lv.10,static/images/1693253109_image.png
消失的线人,1.在灯塔的房屋区域找到失踪的小队 2.以幸存状态撤离该区域,3x4 仙女棒 灯塔 Lv.10,static/images/1693304638_image.png
缉毒行动,1.在灯塔找到隐蔽的毒品实验室 2.在毒品实验室中藏匿WIFI摄像头,3x4 仙女棒 灯塔 Lv.10,static/images/1693304866_image.png
医疗隐私 - 3,1.找到那辆曾属于疗养院医疗服务负责人的车 2.提取血液样本并上交 3.以幸存状态撤离该区域,3x4 仙女棒 森林 Lv.10,static/images/1693253639_image.png
一天一个苹果 - 医生远离我,"1.上交400,000卢布",非3x4 任意地点 Lv.10,static/images/1693254410_image.png
医疗隐私 - 4,1.达到4级健康技能等级,3x4 仙女棒 任意地点 Lv.10,static/images/1693254002_image.png
医疗隐私 - 5,1.在夜间找到工厂的投放地点 2.取得3个“Kite”火药并将它们藏匿在指定地点,3x4 仙女棒 工厂 Lv.10,static/images/1693254200_image.png
出于好奇【多选】,1.在海关找到装有化学品的载具 2.使用MS2000指示器标记化学品转运车 3.以幸存状态撤离海关,3x4 海关 Lv.11,static/images/1693306416_image.png
重获信任,1.取得宿舍303房间钥匙并上交 2.取得ZB-014钥匙并上交 3.取得军事基地检查站钥匙并上交 4.取得加油站储藏室钥匙并上交,非3x4 任意地点 Lv.11,static/images/1693306506_image.png
人口普查,1.取得记载有人口数据的记录并上交,非3x4 塔科夫街区 Lv.12,static/images/1693250509_image.png
兽医也是医 - 1,1.在塔科夫街区找到兽医诊所 2.在塔科夫街区找到X光检查室 3.以幸存状态撤离该区域,非3x4 塔科夫街区 Lv.12,static/images/1694197909_image.png
供给计划【多选】,1.在森林锯木厂小屋里取得机密文件夹0052 2.以幸存状态撤离森林 3.上交机密文件夹,3x4 森林 Lv.13,static/images/1693251872_image.png
危险之路,1.在塔科夫街区幸存，并通过Primorsky（Приморский）大道出租车载具撤离点撤离,非3x4 塔科夫街区 Lv.15,static/images/1693252227_image.png
病历,1.在储备站取得第一份医学报告并上交 2.在储备站取得第二份医学报告并上交,3x4 储备站 Lv.15,static/images/1693249512_image.png
海边假期,1.在灯塔找到线人的公文包 2.上交找到的包裹,3x4 灯塔 Lv.17,static/images/1693304278_image.png
城市的解药,1.在塔科夫街区找到化学品实验室 2.取得装有毒品样本的容器并上交,非3x4 塔科夫街区 Lv.17,static/images/1693251439_image.png
寻找救护车,1.在塔科夫街区找到医护人员的智能手机 2.上交智能手机,非3x4 塔科夫街区 Lv.17,static/images/1694600440_image.png
同事 - 1,1.找到被派往疗养院的小组 2.找到被派往码头的小组 3.找到被派往别墅的小组 4.以幸存状态撤离该区域,3x4 海岸线 Lv.21,static/images/1693299998_image.png
同事 - 2,1.在战局中找到Sanitar带有蓝色记号的手术套装并上交 2.在战局中找到Sanitar的检眼镜并上交,3x4 海岸线 Lv.21,static/images/1693300285_image.png
同事 - 3【多选】,1.不要杀死Sanitar 2.在战局中找到10张TerraGroup实验室访问钥匙卡并上交 3.在战局中找到AHF1-M兴奋剂注射剂并上交...,3x4 任意地点 Lv.21,static/images/1693301455_image.png
运动员,1.达到10级的健康技能等级,3x4 任意地点 Lv.30,static/images/1693298712_image.png
私人诊所,1.在战局中找到检眼镜并上交 2.在战局中找到LEDX皮肤透照仪并上交,3x4 仙女棒 任意地点 Lv.35,static/images/1693298986_image.png
灭虫服务,1.在立交桥穿戴指定装备，近距离（60米内）击杀40名Scav,3x4 仙女棒 立交桥 Lv.35,static/images/1693299133_image.png
急单,1.在战局中找到3个便携式除颤仪 2.在战局中找到3个检眼镜 3.在战局中找到2个LEDX皮肤透照仪 4.在战局中找到20个一堆药 5.在战...,3x4 任意地点 Lv.48,static/images/1693301853_image.png
收藏家,1.在战局中找到以下图片所有物品 2.上交以下图片所有物品 3.达到55级,3x4 任意地点 Lv.48,static/images/1716828882_c692c66da2d8b6125aa5d5a75ff095b2.png
抉择,1.上交Epsilon安全箱,非3x4 任意地点 Lv.50,static/images/1716828797_34581c6e10b484ae93ab077a9a05873a.png
亡羊补牢 - 赌注,1.使用AK系列枪械击杀7名玩家,非3x4 任意地点,static/images/1693945311_image.png
亡羊补牢 - 信任,1.上交在战局中找到的5个BEAR狗牌 2.上交在战局中找到的5个USEC狗牌,非3x4 任意地点,static/images/1693945431_image.png
亡羊补牢 - Wergild,"1.上交1,000,000卢布",非3x4 任意地点,static/images/1693945460_image.png
亡羊补牢 - 酒保,1.上交在战局中找到的1个DanJackiel瓶装威士忌 2.上交在战局中找到的3个塔可乐,非3x4 任意地点,static/images/1693945523_image.png
亡羊补牢 - 收藏,1.上交在战局中找到的2把柯尔特M4A1突击步枪,非3x4 任意地点,static/images/1693945608_image.png
供应商,1.上交在战局中找到的Module-3M防弹衣 2.上交在战局中找到的TOZ-106霰弹枪,3x4 仙女棒 任意地点 Lv.5,static/images/1693314653_image.png
敲诈者,1.在海关取得高价值货物 2.上交高价值货物,3x4 海关 Lv.7,static/images/1693315074_image.png
风波,1.使用手枪击杀3名PMC,3x4 任意地点 Lv.8,static/images/1693315468_image.png
U盘里面有什么？,1.在战局中找到2个加密U盘并上交,3x4 任意地点 Lv.8,static/images/1693315762_image.png
金色失物,1.找到镀金的Zibbo打火机 2.在海关将打火机藏匿在拖车停车场的工棚里,3x4 海关 Lv.8,static/images/1693316231_image.png
西方来客 - 1,1.击杀7名USEC 2.找到7个“USEC”PMC狗牌并上交,3x4 仙女棒 任意地点 Lv.9,static/images/1693320941_image.png
西方来客 - 2,"1.上交6,000美元",3x4 仙女棒 任意地点 Lv.9,static/images/1693321325_image.png
化学品 - 1,1.取得关于副局长生平的信息并上交 2.取得可以帮助调查的物品并上交,3x4 海关 Lv.10,static/images/1693316592_image.png
化学品 - 2,1.在海关找到任何可以帮助调查的证据并上交 2.在海关找到任何可以帮助调查的信息并上交,3x4 海关 Lv.10,static/images/1693317007_image.png
化学品 - 3,1.在工厂取得装有化学品的注射器并上交,3x4 工厂 Lv.11,static/images/1693317720_image.png
化学品 - 4【多选】,1.在海关找到装有化学品的载具 2.使用MS2000指示器标记化学品转运车 3.以幸存状态撤离海关,3x4 海关 Lv.11,static/images/1693318937_image.png
收买人心,1.上交100万卢布给Skier,非3x4 任意地点 Lv.11,static/images/1693318431_image.png
暗中破坏【多选】,1.把0052号文件夹上交给Skier,3x4 任意地点 Lv.13,static/images/1693326119_image.png
安全通道,1.在位于储备站的地下仓库击杀10名Scav,3x4 储备站 Lv.15,static/images/1693326754_image.png
长路漫漫,1.在位于灯塔的海边及主路沿线击杀15名Scav,3x4 灯塔 Lv.20,static/images/1693327475_image.png
失踪货物,1.在灯塔找到失事的直升机 2.找到线人的情报文件夹并上交,3x4 灯塔 Lv.20,static/images/1693327641_image.png
肮脏游戏,1.标记疗养院正门处的医疗容器 2.标记锁着的别墅旁的医疗容器 3.标记码头入口处的医疗容器 4.以幸存状态撤离该区域,3x4 海岸线 Lv.21,static/images/1693326344_image.png
维他命 - 1,1.获得第一个化学品容器并上交 2.获得第二个化学品容器并上交 3.获得第三个化学品容器并上交,3x4 任意地点 Lv.22,static/images/1693318549_image.png
维他命 - 2,1.在战局中找到4个防毒面罩并上交 2.在战局中找到3个医用输血工具并上交,3x4 任意地点 Lv.22,static/images/1693319118_image.png
好吃到上瘾 - 1,1.在塔科夫街区的Beluga餐厅找到并获取有关烹饪秘密的信息,非3x4 塔科夫街区 Lv.22,static/images/1694602347_image.png
好吃到上瘾 - 2,1.在塔科夫街区找到TerraGroup办公室内的秘密配方 2.上交秘密配方,非3x4 塔科夫街区 Lv.22,static/images/1694602712_image.png
情报就是力量,1.安装监视码头的WIFI摄像头 2.安装监视通往港口的路的WIFI摄像头 3.安装监视KibaArms商店的WIFI摄像头,3x4 仙女棒 任意地点 Lv.24,static/images/1693321556_image.png
租借法案 - 1,1.获得第一个电机控制器并上交 2.获得第二个电机控制器并上交 3.获得第三个电机控制器并上交 4.获得第一个单轴光纤陀螺仪并上交 5.获得...,3x4 仙女棒 任意地点 Lv.25,static/images/1693324326_image.png
愿者上钩,1.将3条金项链藏到BTR-80A装甲车旁边的床垫下 2.将3条金项链藏到宿舍楼三楼的微波炉里 3.将3条金项链藏到伐木场宿舍区的中间小屋内...,3x4 仙女棒 任意地点 Lv.27,static/images/1693321968_image.png
大音希声,1.使用消音12铅径霰弹枪击杀20名Scav 2.使用消音12铅径霰弹枪击杀10名PMC,3x4 任意地点 Lv.30,static/images/1693322409_image.png
一派胡言,1.找到假U盘 2.放置假U盘 3.放置SV-98狙击步枪 4.放置劳力士腕表 5.完成任务前，你不能在海关击杀任何Scav,3x4 仙女棒 海关 Lv.30,static/images/1693322669_image.png
借刀杀人,1.穿戴特定装备在海关击杀15名PMC,3x4 海关 Lv.30,static/images/1693323396_image.png
老赖,1.在Tarkov5号大街找到老赖 2.幸存状态下撤离,非3x4 仙女棒 塔科夫街区 Lv.31,static/images/1693335436_image.png
软禁 - 1,1.找到失踪小队被关押在塔科夫街区上的地点 2.幸存状态下撤离,非3x4 仙女棒 塔科夫街区 Lv.33,static/images/1693335676_image.png
软禁 - 2,1.在塔科夫街区找到临时典狱长的公寓 2.查出典狱长的遭遇 3.幸存状态下撤离,非3x4 塔科夫街区 Lv.33,static/images/1693336278_image.png
坚如燧石,1.提升抗压技能至5级,3x4 任意地点 Lv.35,static/images/1693323901_image.png
头号机密,1.在灯塔找到雷达站指挥员的办公室 2.获取记载了航班路线的军用机械硬盘并上交,非3x4 灯塔 Lv.35,static/images/1693328131_image.png
夜间扫荡,1.找到12把奇特的邪教徒匕首 2.上交12把邪教徒匕首给Skier,非3x4 任意地点 Lv.50,static/images/1693326983_image.png
渔具,1.找到秘密地点 2.把狙击步枪放到指定位置 3.把多功能工具钳放到指定位置 4.以幸存状态撤离该区域,3x4 仙女棒 海岸线 Lv.10,static/images/1693337786_image.png
猎虎行动,1.在海关标记第一个Tigr载具 2.在海关标记第二个Tigr载具 3.在海关标记第三个Tigr载具 4.以幸存状态撤离该区域,3x4 仙女棒 海关 Lv.10,static/images/1693385205_image.png
破铜烂铁,1.在海岸线标记第一辆T-90坦克 2.在海岸线标记第二辆T-90坦克 3.在海岸线标记第三辆T-90坦克 4.以幸存状态撤离该区域,3x4 仙女棒 海岸线 Lv.10,static/images/1693386974_image.png
鹰眼,1.找到第一架无人机的坠毁地点 2.从第一个坠毁的无人机上找到SAS硬盘并上交 3..找到第二架无人机的坠毁地点 4.从第二个坠毁的无人机上...,3x4 仙女棒 海岸线 Lv.11,static/images/1693387442_image.png
人道主义救援,1.标记第一辆装有UN失踪货物的卡车 2.标记第二辆装有UN失踪货物的卡车 3.找到5包MRE个人即食口粮并上交 4.穿戴UN制式装备在海岸...,3x4 仙女棒 海岸线 Lv.11,static/images/1693387888_image.png
邪教 - 1,1.找到失踪的线人 2.以幸存状态撤离该区域,3x4 海岸线 Lv.12,static/images/1693388578_image.png
邪教 - 2,1.把MS2000指示器放在海关的仪式地点上 2.把MS2000指示器放在森林的第一个仪式地点上 3.把MS2000指示器放在森林的第二个仪...,3x4 任意地点 Lv.12,static/images/1693388949_image.png
疗养之旅 - 1,1.在海岸线使用12铅径霰弹枪命中头部击杀7名Scav,3x4 仙女棒 海岸线 Lv.12,static/images/1693389399_image.png
人口过剩,1.清除灯塔房屋区域的Scav威胁,3x4 灯塔 Lv.12,static/images/1693425126_image.png
疗养之旅 - 2,1.用MS2000指示器标记直升机 2.用MS2000指示器标记安全通道 3.以幸存状态撤离该区域,3x4 仙女棒 海岸线 Lv.12,static/images/1693390389_image.png
疗养之旅 - 3,1.在战局中找到100毫升WD-40并上交 2.在战局中找到2瓶Clin清洁剂并上交 3.在战局中找到2个波纹软管并上交 4.在战局中找到2...,3x4 仙女棒 任意地点 Lv.12,static/images/1693390740_image.png
疗养之旅 - 4,1.在疗养院东楼找到发电机 2.在疗养院西楼找到发电机 3.以幸存状态撤离该区域,3x4 仙女棒 海岸线 Lv.12,static/images/1693391805_image.png
疗养之旅 - 5,1.取得疗养院封闭房间的钥匙并上交,3x4 仙女棒 海岸线 Lv.12,static/images/1693392228_image.png
疗养之旅 - 6,"1.上交8,000美元",3x4 仙女棒 任意地点 Lv.12,static/images/1693392582_image.png
疗养之旅 - 7,1.在战局中找到4支吗啡注射器 2.在战局中找到2瓶碱性换热器表面洗涤剂 3.在战局中找到2个波纹软管 4.在战局中找到2个5升丙烷罐,3x4 仙女棒 任意地点 Lv.12,static/images/1693393148_image.png
神秘货物 - 1,1.在计算机房找到货物记录 2.将找回的数据上交给Peacekeeper,3x4 仙女棒 海岸线 Lv.12,static/images/1693394448_image.png
神秘货物 - 2,1.找到水箱所在的房间 2.在第二部分货物中找到任何有用的信息 3.把第二部分货物中找到的信息上交,3x4 仙女棒 海岸线 Lv.12,static/images/1693401512_image.png
神秘货物 - 3,1.找到隐藏的Terragroup货物 2.以幸存状态撤离该区域,3x4 仙女棒 海岸线 Lv.12,static/images/1693401804_image.png
神秘货物 - 4,1.找到位于灯塔的TerraGroup货物并使用MS2000指示器将其标记 2.以幸存状态撤离该区域,3x4 仙女棒 灯塔 Lv.12,static/images/1693402081_image.png
彻夜难眠,1.在22:00-05:00期间击杀30名PMC干员（工厂除外）,3x4 任意地点 Lv.12,static/images/1693403627_image.png
无中生有 - 储备站,1.标记第一辆BMP-2步战车 2.标记第二辆BMP-2步战车 3.标记第三辆BMP-2步战车 4.标记第四辆BMP-2步战车 5.标记第一...,3x4 储备站 Lv.14,static/images/1693413455_image.png
无中生有 - 灯塔,1.找到第一辆BRDM装甲车并标记 2.找到第二辆BRDM装甲车并标记 3.找到第一辆Stryker装甲车并标记 4.找到第二辆Stryke...,3x4 灯塔 Lv.14,static/images/1693414161_image.png
绝密技术,1.在储备站获取带有T-90M控制面板的包裹 2.将包裹上交,3x4 储备站 Lv.14,static/images/1693413194_image.png
湿活 - 1,1.在海岸线使用带有消音器的M4A1或ADAR或TX-15消灭10名Scav,3x4 海岸线 Lv.14,static/images/1693405066_image.png
湿活 - 2,1.找到渔民的住所 2.安放MS2000指示器 3.以幸存状态撤离该区域,3x4 海岸线 Lv.14,static/images/1693407704_image.png
湿活 - 3,1.找到Artyom的车 2.以幸存状态撤离该区域,3x4 海岸线 Lv.14,static/images/1693408088_image.png
湿活 - 4,1.找到一份疗养院房客名单 2.把疗养院房客名单上交,3x4 海岸线 Lv.14,static/images/1693408395_image.png
导师,"1.上交50,000欧元",非3x4 任意地点 Lv.14,static/images/1693410317_image.png
湿活 - 5,1.找到关于Artyom工作的信息 2.上交信息,3x4 海岸线 Lv.14,static/images/1693409150_image.png
湿活 - 6,1.提升狙击枪控制技能至7级,3x4 任意地点 Lv.14,static/images/1693409732_image.png
无中生有 - 塔科夫街区,1.在塔科夫街区标记第一辆Stryker装甲车 2.在塔科夫街区标记第二辆Stryker装甲车 3.在塔科夫街区标记第三辆Stryker装甲...,非3x4 塔科夫街区 Lv.17,static/images/1693414569_image.png
此路不通,1.找到塔科夫街区的货运车队 2.确定伏击地点 3.幸存状态下撤离,非3x4 塔科夫街区 Lv.20,static/images/1693393830_image.png
样品,1.在战局中找到1支M.U.L.E.兴奋剂 2.在战局中找到1支Cocktail“Obdolbos” 3.在战局中找到1支Meldonin ...,3x4 任意地点 Lv.21,static/images/1693411039_image.png
TerraGroup雇员,1.找到Sanitar在实验室的工作间 2.取得有关Sanitar工作信息 3.上交蓝色胶带标记的U盘,3x4 实验室 Lv.23,static/images/1693412163_image.png
最烂的差事,1.使用AR-15击杀100米以外的30名任意目标,非3x4 任意地点 Lv.25,static/images/1693414819_image.png
反抗,1.在灯塔击杀20名BEAR玩家 2.上交20个在战局中发现的BEAR玩家狗牌,非3x4 灯塔 Lv.30,static/images/1693423660_image.png
租借法案 - 2,1.在战局中找到军用COFDM无线信号发射器 2.在战局中找到2个Virtex可编程处理器,3x4 仙女棒 任意地点 Lv.30,static/images/1693412605_image.png
维和任务,1.森林穿UN制式装备和M4A1杀12名Scav 2.海关穿UN制式装备和M4A1杀12名Scav 3.立交桥穿UN制式装备和M4A1杀12...,3x4 仙女棒 任意地点 Lv.30,static/images/1693424463_image.png
你的车该洗了,1.找到塔科夫街区汽车经销商的经理办公室获取U盘 2.上交U盘,非3x4 塔科夫街区 Lv.35,static/images/1693403898_image.png
