任务名,目标,标签,图片
向导,1.在所有地图幸存,3x4 任意地点 Lv.40,static/images/1693410528_image.png
清洁工,1.在储备站击杀40名Scav掠夺者,非3x4 储备站 Lv.45,static/images/1693415526_image.png
战利品,1.在战局中找到20个50级以上BEARPMC狗牌 2.在战局中找到20个50级以上USECPMC狗牌 3.上交20个50级以上BEARPM...,非3x4 任意地点 Lv.55,static/images/1693423979_image.png
特殊装备,1.在战局中找到5个VPX闪存存储模块 2.在战局中找到5个UHFRFID读取器 3.在战局中找到5个Virtex可编程处理器 4.在战局中...,非3x4 任意地点 Lv.60,static/images/1693418190_image.png
枪匠 - 1,1.按照要求改装MP-133,3x4 仙女棒 任意地点 Lv.2,static/images/1693510902_image.png
介绍,1.在森林找到Jaeger的营地 2.找到Jaeger的留言 3.上交留言给Mechanic,3x4 仙女棒 森林 Lv.2,static/images/1693473979_image.png
枪匠 - 2,1.按照要求改装AKS-74U,3x4 仙女棒 任意地点 Lv.5,static/images/1693511585_image.png
枪匠 - 3,1.按照要求改装MP5,3x4 仙女棒 任意地点 Lv.7,static/images/1693512334_image.png
枪匠 - 4,1.按照要求改装OP-SKS,3x4 仙女棒 任意地点 Lv.9,static/images/1693558180_image.png
枪匠 - 5,1.按照要求改装雷明顿Model870,3x4 仙女棒 任意地点 Lv.10,static/images/1693559570_image.png
信号 - 1,1.在海岸线上找到第一个信号源 2.在海岸线上找到第二个信号源 3.以幸存状态撤离该区域,3x4 任意地点 Lv.12,static/images/1693474567_image.png
信号 - 2,-在战局中找到3片电脑CPU并上交 -在战局中找到3块可充电电池并上交 -在战局中找到3块印制电路板并上交 -在战局中找到3台损坏的GPho...,3x4 任意地点 Lv.12,static/images/1693474781_image.png
圈内人,1.Prapor信任度达到3级,3x4 任意地点 Lv.12,static/images/1693474694_image.png
侦察,1.找到第一个工厂出口（地下通道） 2.找到第二个工厂出口（0号门） 3.找到第三个工厂出口（3号门） 4.找到第四个工厂出口（医疗帐篷） ...,3x4 工厂 Lv.12,static/images/1693475596_image.png
挖矿 - 1,1.在工厂使用一套工具修好第一个控制板 2.在工厂使用一套工具修好第二个控制板 3.以幸存状态撤离该区域,3x4 仙女棒 工厂 Lv.12,static/images/1693477898_image.png
挖矿 - 2,1.在战局中找到2条电源线并上交 2.在战局中找到4个T形插座并上交 3.在战局中找到2块印制电路板并上交,3x4 仙女棒 任意地点 Lv.12,static/images/1693478178_image.png
不良嗜好,1.在战局中找到5包马宝路香烟并上交 2.在战局中找到5包无彩香烟并上交 3.在战局中找到5包云尔斯顿香烟并上交,3x4 任意地点 Lv.12,static/images/1693479193_image.png
直播 - 1,1.在灯塔找到隐蔽的录制室 2.在录制室内放置信号干扰器,3x4 仙女棒 灯塔 Lv.12,static/images/1693499120_image.png
挖矿 - 3,1.在海关找到罚没品仓库 2.获得显卡包裹并上交,3x4 海关 Lv.14,static/images/1693489168_image.png
挖矿 - 4,1.在战局中找到3张显卡 2.在战局中找到8个CPU风扇,3x4 任意地点 Lv.14,static/images/1693489542_image.png
天神射手,1.在森林命中头部击杀5名PMC 2.在储备站命中头部击杀5名PMC 3.在海岸线命中头部击杀5名PMC 4.在海关命中头部击杀5名PMC ...,3x4 任意地点 Lv.14,static/images/1693491407_image.png
枪匠 - 6,1.按照要求改装AKM,3x4 仙女棒 任意地点 Lv.14,static/images/1693560559_image.png
后门,1.找到位于储备站未供电的秘密撤离点 2.从D-2撤离点幸存撤离,3x4 储备站 Lv.14,static/images/1693476893_image.png
物尽其用,1.在储备站获得备用MBT综合导航系统 2.将导航综合体上交,3x4 储备站 Lv.14,static/images/1693476593_image.png
信号 - 3,1.在海岸线的指定地点放置第一个干扰器 2.在海岸线的指定地点放置第二个干扰器 3.在海岸线的指定地点放置第三个干扰器 4.以幸存状态撤离该...,3x4 海岸线 Lv.15,static/images/1693477217_image.png
信号 - 4,1.提升记忆力技能至4级,3x4 任意地点 Lv.15,static/images/1693477706_image.png
神秘的门,1.在塔科夫街区找到信号干扰的原因 2.在被锁链覆盖的门口安装一个WI-Fi摄像头 3.在通往三楼的楼梯上安装Wi-Fi摄像头,非3x4 塔科夫街区 Lv.15,static/images/1694610420_image.png
直播 - 2,1.找到塔科夫街区的杂货店内的血腥直播间 2.在幸存状态下撤离,非3x4 仙女棒 塔科夫街区 Lv.15,static/images/1693499703_image.png
枪匠 - 7,1.按照要求改M4A1,3x4 仙女棒 任意地点 Lv.15,static/images/1693560871_image.png
枪匠 - 8,1.按照要求改装AKS-74N,3x4 仙女棒 任意地点 Lv.17,static/images/1693561957_image.png
商业机密,1.找到水泵运行数据并上交 2.找到泵房运行报告并上交,3x4 灯塔 Lv.17,static/images/1693497910_image.png
枪匠 - 9,1.按照要求改装P226R,3x4 仙女棒 任意地点 Lv.19,static/images/1693564034_image.png
枪匠 - 10,1.按照要求改装AK-105,3x4 仙女棒 任意地点 Lv.20,static/images/1693574850_image.png
你被盯上了,1.找到塔科夫街区的监视点 2.取得装有记录的U盘并上交,非3x4 塔科夫街区 Lv.20,static/images/1693500064_image.png
枪匠 - 11,1.按照要求改装KRISSVector9x19,3x4 仙女棒 任意地点 Lv.22,static/images/1693577015_image.png
化学橱柜,1.在疗养院里查找并进入Sanitar\'s的办公室 2.幸存撤离该地区,3x4 海岸线 Lv.22,static/images/1693495921_image.png
枪匠 - 12,1.按照要求改装SIGMPX,3x4 仙女棒 任意地点 Lv.23,static/images/1693577371_image.png
枪匠 - 13,1.按照要求改装R11RSASS,3x4 仙女棒 任意地点 Lv.25,static/images/1693579372_image.png
能源危机,1.找到位于灯塔的一组油罐并将其标记 2.找到位于灯塔的油罐卡车并将其标记 3.找到位于灯塔的第二辆油罐卡车并将其标记 4.找到位于灯塔的第...,3x4 灯塔 Lv.25,static/images/1693498235_image.png
探望,1.找到塔科夫街区Concordia住宅区停车场地下室的车辆移动数据 2.上交数据,非3x4 塔科夫街区 Lv.25,static/images/1693500500_image.png
枪匠 - 14,1.按照要求改装HK416A5,3x4 仙女棒 任意地点 Lv.27,static/images/1693580095_image.png
枪匠 - 15,1.按照要求改装ASVAL,3x4 仙女棒 任意地点 Lv.29,static/images/1693580678_image.png
枪匠 - 16,1.按照要求改装DVL-10,3x4 任意地点 Lv.30,static/images/1693581032_image.png
肥料,1.在战局中找到5捆电线并上交 2.在战局中找到5份电容并上交,3x4 任意地点 Lv.30,static/images/1693491083_image.png
枪匠 - 17,1.按照要求改装AK-102,3x4 任意地点 Lv.31,static/images/1693581386_image.png
枪匠 - 18,1.按照要求改装AKMN,3x4 任意地点 Lv.33,static/images/1693581876_image.png
进口,1.在战局中找到UHFRFID固定式读取器并上交 2.在战局中找到VPX闪存模块并上交,3x4 任意地点 Lv.35,static/images/1693495584_image.png
狙击疯魔,1.提升狙击步枪技能至10级 2.在不死亡的情况下使用栓动步枪击杀5名PMC,3x4 任意地点 Lv.35,static/images/1693490303_image.png
网络供应商 - 1,1.上交在战局中找到的4个电子元件 2.上交在战局中找到的4个军用COFDM无线信号发射器 3.上交在战局中找到的4个气体分析仪 4.上交在...,非3x4 仙女棒 任意地点 Lv.35,static/images/1693502077_image.png
网络供应商 - 2,1.在污水处理厂的MI-8直升机内安放无线电中继器 2.在红顶豪宅内安放无线电中继器 3.在俯瞰灯塔的高海拔内安放无线电中继器 4.在岸边沉...,非3x4 仙女棒 灯塔 Lv.35,static/images/1693502300_image.png
试探 - 1,1.消灭灯塔的灯塔本体的15名PMC人员,非3x4 仙女棒 灯塔 Lv.35,static/images/1693507134_image.png
试探 - 2,1.在森林找到第一个地堡并标记 2.在森林找到第二个地堡并标记 3.在森林找到第三个地堡并标记 4.在森林找到第四个地堡并标记,非3x4 仙女棒 森林 Lv.35,static/images/1693507467_image.png
试探 - 3,1.消灭实验室中的7个掠夺者 2.交出在战局中找到的15个SJ1TGLabs 3.交出在战局中找到的5个SJ6TGLabs 4.交出在战局中...,非3x4 仙女棒 实验室 Lv.35,static/images/1693508196_image.png
灯塔之钥,1.交出战局中找到的2个有机玻璃片 2.交出战局中找到的1个绝缘胶带 3.交出战局中找到的2个军用电路板 4.交出战局中找到的1个军用COF...,非3x4 仙女棒 灯塔 Lv.35,static/images/1693508468_image.png
咚咚咚,1.检查无线电发射器是否正常工作 2.以幸存状态撤离该区域,非3x4 仙女棒 灯塔 Lv.35,static/images/1693508913_image.png
邂逅,1.在灯塔上获取加密U盘V3 2.重新刷新DSP无线电发射器 3.交出加密U盘V3 4.参观灯塔建筑,非3x4 仙女棒 灯塔 Lv.35,static/images/1693509245_image.png
破镜重圆 - 收买人心,"1.交出1,000,000卢布",非3x4 仙女棒 任意地点 Lv.35,static/images/1693509919_image.png
破镜重圆 - 装备,1.在战局中找到4支SVDS狙击步枪,非3x4 仙女棒 任意地点 Lv.35,static/images/1693510152_image.png
破镜重圆,1.在灯塔上获取加密U盘V3 2.重新刷新DSP无线电发射器 3.交出加密U盘V3 4.参观灯塔建筑,非3x4 仙女棒 灯塔 Lv.35,static/images/1693510777_image.png
枪匠 - 19,1.按照要求改装SVDS‍,3x4 任意地点 Lv.36,static/images/1693582829_image.png
枪匠 - 20,1.按照要求改装M1A,3x4 任意地点 Lv.37,static/images/1693582587_image.png
枪匠 - 21,1.按照要求改装M700‍ 2.按照要求改装M1911,3x4 任意地点 Lv.38,static/images/1693582927_image.png
枪匠 - 22,1.按照要求改M4A1,3x4 任意地点 Lv.39,static/images/1693583906_image.png
枪匠 - 23,1.按照要求改装Mk47,非3x4 任意地点 Lv.39,static/images/1694425140_image.png
枪匠 - 24,1.按照要求改装SR-25,非3x4 任意地点 Lv.39,static/images/1694426840_image.png
枪匠 - 25,1.按照要求改装PKP,非3x4 任意地点 Lv.39,static/images/1694611588_image.png
致命校准,1.击杀100米开外的20个PMC,非3x4 任意地点 Lv.47,static/images/1693496629_image.png
急先锋,1.在海关建筑工地的黄色吊车底座下藏匿TrijiconREAP-IR热成像步枪瞄准镜 2.在海关新加油站的垃圾箱后面藏匿TrijiconRE...,非3x4 任意地点 Lv.52,static/images/1693496982_image.png
生意至上,1.Ragman好感度达到2级,3x4 仙女棒 任意地点 Lv.15,static/images/1693586072_image.png
Make ULTRA Great Again,1.在立交桥击杀25名Scav,3x4 仙女棒 立交桥 Lv.15,static/images/1693586423_image.png
大甩卖,1.检查AVOKADO 2.检查KOSTIN 3.检查tRend 4.检查DINOCLOTHES 5.检查TOPBRAND 6.以幸存状态撤...,3x4 仙女棒 立交桥 Lv.15,static/images/1693586745_image.png
数据库 - 1,1.获得Goshan货物清单并上交 2.获得OLI货物清单并上交 3.获得IDEA货物清单并上交,3x4 仙女棒 立交桥 Lv.15,static/images/1693821140_image.png
数据库 - 2,1.获得OLI货运路线文件并上交,3x4 仙女棒 立交桥 Lv.15,static/images/1693821338_image.png
战争之血 - 1,1.标记1号油罐 2.标记2号油罐 3.标记3号油罐 4.以幸存状态撤离此区域,3x4 仙女棒 立交桥 Lv.15,static/images/1693818851_image.png
盛装杀戮,1.在战局中找到2个苏联毛帽并上交 2.在战局中找到2个牛仔帽并上交,3x4 任意地点 Lv.15,static/images/1693819466_image.png
感恩的心,1.找到秘密地点 2.把幽灵头套放置在指定地点 3.把提花头巾放置在指定地点 4.把雷硼太阳镜放置在指定地点 5.把圆框太阳镜放置在指定地点,3x4 森林 Lv.15,static/images/1693819675_image.png
雪中送炭,1.标记位于储备站的第一组油罐 2.标记位于储备站的第二组油罐 3.以幸存状态撤离此区域,3x4 储备站 Lv.15,static/images/1693818060_image.png
清点库存,1.检查储备站东部军营的第一个军械库（机侧楼） 2.检查储备站东部军营的第二个军械库（机侧楼） 3.检查储备站南部军营的第一个军械库（机尾楼...,3x4 储备站 Lv.15,static/images/1693818264_image.png
审计,1.找到Tarkov街道上的财务记录本并上交,非3x4 塔科夫街区 Lv.17,static/images/1693837114_image.png
芭蕾舞者,1.在塔科夫街区找到芭蕾舞演员的公寓 2.并幸存状态撤离该区域,非3x4 塔科夫街区 Lv.20,static/images/1693837279_image.png
微型客车,1.标记第一辆微型客车 2.标记第二辆微型客车 3.标记第三辆微型客车 4.以幸存状态撤离此区域,3x4 立交桥 Lv.24,static/images/1693821736_image.png
高保真,1.在塔科夫街区找到音乐人聚会点 2.获得雕刻的吉他拨片并上交,非3x4 塔科夫街区 Lv.25,static/images/1693837639_image.png
临行密密缝 - 1,1.在战局中找到滑雪头套并上交 2.在战局中找到Pilgrim旅行包并上交,3x4 仙女棒 任意地点 Lv.25,static/images/1693822024_image.png
战争之血 - 2,1.在战局中找到4个燃油添加剂并上交,3x4 仙女棒 任意地点 Lv.25,static/images/1693822700_image.png
临行密密缝 - 2,"1,获得耐久度在0%-50%之间的Gzhel防弹衣 2.上交耐久度在0%-50%之间的Gzhel防弹衣 3.获得耐久度在50%-100%之间...",3x4 仙女棒 任意地点 Lv.25,static/images/1693822381_image.png
临行密密缝 - 3,1.获得耐久度在0%-50%之间的6B13防弹衣 2.上交耐久度在0%-50%之间的6B13防弹衣 3.获得耐久度在50%-100%之间的6...,3x4 仙女棒 任意地点 Lv.25,static/images/1693833721_image.png
临行密密缝 - 4,"-在战局中找到2件Wartech(TV-109,TV-106) -上交2件Wartech(TV-109,TV-106) -在战局中找到2件B...",3x4 任意地点 Lv.25,static/images/1693834540_image.png
风流倜傥,1.提升魅力技能等级至10级,3x4 任意地点 Lv.25,static/images/1693834782_image.png
成功的关键,1.获得服装设计手册（一）并上交 2.获得服装设计手册（二）并上交,3x4 立交桥 Lv.26,static/images/1693823737_image.png
暗度陈仓,1.提升Therapist好感度至3级,3x4 任意地点 Lv.26,static/images/1693824320_image.png
奢侈无罪 - 1,1.在战局中找到2尊青铜狮雕并上交 2.在战局中找到2尊马雕像并上交 3.在战局中找到猫雕像并上交 4.在战局中找到劳力土潜水金腕表并上交 ...,3x4 仙女棒 任意地点 Lv.27,static/images/1693834083_image.png
火线速递,1.将2个PeltorComTac2藏到指定地点 2.将2个6B47头盔藏到指定地点 3.将2个BNTIGzhel-K护甲藏到指定地点,3x4 立交桥 Lv.29,static/images/1693819933_image.png
垃圾佬,1.提升搜寻技能至9级,3x4 任意地点 Lv.29,static/images/1693820521_image.png
机不可失【移除】,1.找到12幅钟表油画,非3x4 任意地点 Lv.29,static/images/1694611932_image.png
大放送之夜,1.以幸存状态撤离立交桥7次,3x4 立交桥 Lv.30,static/images/1693820704_image.png
战争之血 - 3,1.在森林找到并标记第一个燃料堆 2.在森林找到并标记第二个燃料堆 3.在森林找到并标记第三个燃料堆 4.以幸存状态撤离该区域,3x4 仙女棒 森林 Lv.30,static/images/1693822923_image.png
奢侈无罪 - 2,1.在战局中找到3个古董茶壶并上交 2.在战局中找到2个古董花瓶并上交 3.在战局中找到1个Axel鹦鹉雕像并上交 4.在战局中找到2个乌鸦...,3x4 仙女棒 任意地点 Lv.30,static/images/1693823163_image.png
那个时髦的人,1.干掉Killa50次,非3x4 立交桥 Lv.30,static/images/1693824589_image.png
财务总监,1.获得Goshan收银机钥匙并上交,3x4 任意地点 Lv.40,static/images/1693832852_image.png
纺织业 - 1,1.在战局中找到5匹芳纶纤维布料并上交 2.在战局中找到10匹防撕布料并上交 3.在战局中找到3条尼龙绳索并上交,非3x4 任意地点 Lv.42,static/images/1693835015_image.png
纺织业 - 2,1.在战局中发现并带回10匹绒布布料 2.在战局中发现并带回10匹Cordura聚酰胺面料 3.在战局中发现并带回5个KEKTAPE管道胶带,非3x4 任意地点 Lv.42,static/images/1693835287_image.png
长期合作,1.在位于立交桥的ULTRA商城击杀20名PMC,非3x4 立交桥 Lv.45,static/images/1693836329_image.png
酒瘾,1.在战局中找到10瓶Tarkovskaya瓶装伏特加 2.在战局中找到10瓶DanJackiel瓶装威士忌 3.在战局中找到3瓶纯净水 4...,非3x4 任意地点 Lv.50,static/images/1693836684_image.png
熟人,1.在战局中找到3个Iskra个人配给口粮 2.在战局中找到2个方便面 3.在战局中找到2个炖美味牛肉罐头,3x4 仙女棒 任意地点 Lv.2,static/images/1693840086_image.png
生存者之路 - 危险零距离,1.在森林不穿防弹衣击杀5名Scav,3x4 仙女棒 森林 Lv.2,static/images/1693840006_image.png
生存者之路 - 省吃俭用,1.在ZB016地堡藏匿Iskra个人配给口粮 2.在ZB016地堡藏匿0.6升瓶装水 3.在ZB014地堡藏匿Iskra个人配给口粮 4....,3x4 仙女棒 森林 Lv.2,static/images/1693840302_image.png
生存者之路 - Zhivchik,1.在完全脱水的情况下坚持5分钟,3x4 仙女棒 任意地点 Lv.2,static/images/1693840611_image.png
生存者之路 - 受伤的野兽,1.在遭受疼痛影响的情况下击杀3名Scav,3x4 仙女棒 任意地点 Lv.2,static/images/1693841110_image.png
生存者之路 - 冷血,1.在颤栗效果的影响下命中头部消灭2名PMC,3x4 任意地点 Lv.2,static/images/1693842945_image.png
生存者之路 - 硬汉,1.在森林单局内不使用医疗物品的情况下消灭3名Scav 2.在任务期间不要使用任何医疗品,3x4 仙女棒 森林 Lv.2,static/images/1693841849_image.png
生存者之路 - 雕鸮,1.在21:00到04:00的时间内，在不使用夜视仪或热成像的情况下击杀6名scavs,3x4 任意地点 Lv.2,static/images/1693843932_image.png
生存者之路 - 战地军医,1.提升活力技能至5级,3x4 任意地点 Lv.2,static/images/1693844322_image.png
生存者之路 - Junkie,1.在任意兴奋剂效果下于森林击杀15名Scav,3x4 森林 Lv.2,static/images/1693843176_image.png
猎人之路 - 周边安全,1.在工厂办公室区域（任何楼层）消灭6个PMC,3x4 仙女棒 工厂 Lv.2,static/images/1693856286_image.png
猎人之路 - 物资,1.消灭Reshala 2.在战局中找到黄金TT手枪并上交,3x4 海关 Lv.2,static/images/1693858882_image.png
猎人之路 - 正义,1.击杀3名穿着警用制服的Scav（Reshala的保镖）,3x4 任意地点 Lv.2,static/images/1693859017_image.png
猎人之路 - 杀戮森林,1.在塔科夫全区域内击杀30名Scav,3x4 仙女棒 任意地点 Lv.2,static/images/1693857284_image.png
猎人之路 - 工厂头目,1.消灭Tagilla 2.在战局中找到BOOS鸭嘴帽,3x4 工厂 Lv.2,static/images/1693907340_image.png
猎人之路 - 流浪汉,1.击杀10个Rogue,3x4 灯塔 Lv.2,static/images/1693928581_image.png
猎人之路 - 控制者,1.击杀2名被闪光弹致盲的PMC,3x4 任意地点 Lv.2,static/images/1693857481_image.png
猎人之路 - 邪恶守望者,1.在海关的宿舍区击杀5名PMC,3x4 海关 Lv.2,static/images/1693857565_image.png
塔科夫神射手 - 1,1.使用栓动步枪的机械瞄具在40米外击杀5名Scav,3x4 仙女棒 任意地点 Lv.2,static/images/1693911166_image.png
塔科夫神射手 - 2,1.使用栓动式步枪在40米外击中腿部3次 2.使用栓动式步枪在40米外完成2次爆头,3x4 仙女棒 任意地点 Lv.2,static/images/1693911297_image.png
塔科夫神射手 - 3,1.使用栓动步枪在25米内近距离击杀3名PMC,3x4 仙女棒 任意地点 Lv.2,static/images/1693920127_image.png
塔科夫神射手 - 4,1.提升狙击步枪操作技能至3级,3x4 仙女棒 任意地点 Lv.2,static/images/1693921468_image.png
塔科夫神射手 - 5,1.在海关21:00至05:00之间使用栓动式步枪击杀8名Scav,3x4 仙女棒 任意地点 Lv.2,static/images/1693921646_image.png
塔科夫神射手 - 6,1.使用栓动步枪击杀5个Scav狙击手,3x4 仙女棒 任意地点 Lv.2,static/images/1693922240_image.png
塔科夫神射手 - 7,1.使用装用消音器的栓动步枪在45米外击杀5名PMC,3x4 仙女棒 任意地点 Lv.2,static/images/1693922418_image.png
塔科夫神射手 - 8,1.在不死亡的情况下使用栓动步枪命中头部击杀3名PMC,3x4 任意地点 Lv.2,static/images/1693922915_image.png
美味香肠,1.检查Nikitskaya大街的Shestyorochka商店 2.检查Primorsky大街的Sparja商店 3.检查Pinewood...,3x4 塔科夫街区 Lv.5,static/images/1693930584_image.png
别开枪！,1.从塔科夫街街区穿过Klimov街道并撤离,非3x4 塔科夫街区 Lv.10,static/images/1693929848_image.png
猎人之路 - 森林管理员,1.消灭Shturman 2.在战局中找到Shturman钥匙并上交,3x4 森林 Lv.13,static/images/1693859448_image.png
猎人之路 - 大动作,1.消灭Kaban 2.消灭Basmach 3.消灭Gus 4.在塔科夫街道的汽车经销商处消灭5名Kaban的保镖,非3x4 塔科夫街区 Lv.17,static/images/1694612472_image.png
储备,1.在储备站找到食品储存区域 2.以幸存状态撤离该区域,3x4 储备站 Lv.20,static/images/1693856564_image.png
害虫防治,1.击杀10个在储备站营区Scavs,3x4 储备站 Lv.20,static/images/1693927182_image.png
猎人之路 - 蒸发密令 - 1,1.找到并消灭Glukhar,3x4 储备站 Lv.20,static/images/1693908817_image.png
猎人之路 - 蒸发密令 - 2,1.消灭6个掠夺者,3x4 任意地点 Lv.20,static/images/1693910785_image.png
礼节性拜访,1.找到地方主席的房子 2.找到渔夫的房子 3.找到牧师的房子 4.以幸存状态撤离,3x4 海岸线 Lv.20,static/images/1693842465_image.png
隐士,1.找到Jaeger朋友在灯塔上的藏身处 2.找到并取得给Jaeger的消息 3.上交消息,3x4 灯塔 Lv.20,static/images/1693928334_image.png
直播 - 3,1.找到塔科夫街区的老房子内的血腥直播间 2.幸存状态下撤离,非3x4 塔科夫街区 Lv.20,static/images/1693930790_image.png
生意至上,1.在战局中找到3个加密U盘 2.上交3个加密U盘,3x4 任意地点 Lv.20,static/images/1693923413_image.png
猎人之路 - 虐待狂【多选】,1.消灭Sanitar,3x4 海岸线 Lv.22,static/images/1693926894_image.png
猎人之路 - 管理者,1.击杀塔科夫街区松木酒店内的20名Scavs 2.在松木酒店旁边的院子内发射黄色信号弹,非3x4 塔科夫街区 Lv.23,static/images/1693931240_image.png
救护车,1.在战局中找到2个CMS手术包 2.在战局中找到1个便携式除颤器,3x4 任意地点 Lv.25,static/images/1693844586_image.png
直播 - 4,1.找到塔科夫街区的邪教徒聚会地点 2.幸存状态下撤离,非3x4 塔科夫街区 Lv.27,static/images/1693930959_image.png
直播 - 5,1.找到并消灭邪教徒牧师 2.在塔科夫街道Chekannaya街上找到仪式地点 3.在仪式现场埋藏1把邪教徒的刀 4.以幸存状态撤离该区域,非3x4 任意地点 Lv.27,static/images/1694612797_image.png
怀旧之情,1.找到Jaeger待过的海景房间 2.找到Jaeger的相册并上交,3x4 海岸线 Lv.28,static/images/1693842754_image.png
鱼塘,1.在战局中找到2张TerraGroup实验室访问钥匙卡,3x4 任意地点 Lv.28,static/images/1693857961_image.png
猎人之路 - 脱销,1.消灭Killa 2.在战局中找到Killa的头盔并上交,3x4 立交桥 Lv.32,static/images/1693859166_image.png
狩猎之旅,1.使用装有指定瞄具的M700狙击步枪从75米开外命中头部击杀Shturman,3x4 森林 Lv.33,static/images/1693903130_image.png
猎人,1.歼灭Shturman20次,非3x4 森林 Lv.33,static/images/1693924296_image.png
屠宰场,1.在除了实验室以外的每张地图使用近战武器时消灭10个Scavs,非3x4 任意地点 Lv.40,static/images/1693929622_image.png
流浪狗,1.找到并击杀Knight 2.找到并击杀BigPipe 3.找到并击杀Birdeye,3x4 任意地点 Lv.42,static/images/1693928766_image.png
快枪手,1.在森林不穿任何防弹衣或头盔击杀15名PMC,非3x4 森林 Lv.50,static/images/1693927449_image.png
猎人之路 - 无情杀手,1.你不能阵亡，在行动中失踪或者匆匆撤离 2.击杀Tagilla 3.击杀Killa 4.击杀Reshala 5.击杀Shturman 6....,非3x4 任意地点 Lv.65,static/images/1693928047_image.png
情报之源,1.通过森林的桥梁黑车幸存状态下撤离 2.通过海关的宿舍楼黑车幸存状态下撤离 3.通过立交桥的发电站黑车幸存状态下撤离 4.通过塔科夫街区的...,非3x4 任意地点 Lv.35,static/images/1693938821_image.png
失踪的线人,1.在塔科夫街道上找到线人的藏身之处 2.找到线人备用藏身处 3.找到线人的日记 4.将日记上交给Lightkeeper,非3x4 塔科夫街区 Lv.35,static/images/1693939313_image.png
抢夺先机,1.幸存状态撤离灯塔 2.在灯塔的污水处理厂获取伪造的情报 3.在储备站坦克房中寻找原始情报 4.将伪造的情报藏在BMP-2下以及代替原始情...,非3x4 任意地点 Lv.35,static/images/1693940014_image.png
归还人情,1.消灭森林山区周围的15名PMC干员 2.将TerraGroup的“蓝色文件夹”材料文件夹隐藏在USEC营地的黑色SUV内 3.将Terr...,非3x4 森林 Lv.35,static/images/1693940279_image.png
以牙还牙,1.找到并击杀Glukhar 2.消灭Glukhar的6名守卫 3.在雷达站发送黄色信号弹 4.从储备站的峭壁斜坡幸存状态撤离,非3x4 储备站 Lv.35,static/images/1693941121_image.png
挑衅,"1.使用ASh-12消灭Kiba武器商店周围的20个敌人 2.在Kiba武器商店内埋藏一根咸狗牛肉肠 3.在安全屋撤离点内埋藏一瓶""凶狠跑刀...",非3x4 立交桥 Lv.35,static/images/1693941447_image.png
按图索骥,1.击杀20名Raiders 2.搜索武器实验区 3.搜索人体实验区 4.在经理办公室内获取加密磁带 5.将磁带带给Lightkeeper,非3x4 任意地点 Lv.35,static/images/1693942493_image.png
观察员,1.在康科迪亚找到一个俯瞰建筑工地的良好狙击位置 2.将AI.338LM战术声音抑制器藏在红色桌子附近 3.在滨海边疆区找到一个俯瞰电影院的...,非3x4 塔科夫街区 Lv.35,static/images/1693942870_image.png
大显身手,1.从350米开外击杀10个狙击Scav 2.狙击步枪技能达到10级,非3x4 任意地点 Lv.35,static/images/1693943475_image.png
大都会之谜,1.在塔科夫街区找到装有货物的载具 2.清理区域内的50个PMC 3.用MS2000指示器标记货物所在区域 4.在装甲车队附近发射黄色信号弹...,非3x4 塔科夫街区 Lv.35,static/images/1693943655_image.png
外部信任 - 1,1.找到并消灭15次Tagilla 2.找到并消灭15次Sanitar 3.找到并消灭15次Shturman 4.找到并消灭15次Killa...,非3x4 任意地点 Lv.35,static/images/1712939069_1c945ea2852f81f69b8d94a7887e7e59.png
